"no","en","ja","example_en","example_ja"
"865","remote","リモート","You can access and manage your AWS resources remotely using the AWS Management Console.","AWS Management Consoleを使用して、リモートでAWSリソースにアクセスして管理することができます。"
"866","cooldown","クールダウン","The cooldown period in AWS Auto Scaling helps to prevent excessive scaling activities.","AWS Auto Scalingのクールダウン期間は、過剰なスケーリング活動を防ぐのに役立ちます。"
"867","autovacuum","自動バキューム","AWS RDS for PostgreSQL has an autovacuum feature to help maintain database performance.","AWS RDS for PostgreSQLには、データベースのパフォーマンスを維持するための自動バキューム機能があります。"
"868","program","プログラム","You can use AWS SDKs to write programs that interact with AWS services.","AWS SDKを使用して、AWSサービスとやり取りするプログラムを作成することができます。"
"869","publicly","公に","AWS provides publicly available documentation for its services","AWSは、サービスに関する公開されたドキュメントを提供しています"
"870","pending","保留中","The status of the AWS resource is pending"," AWSリソースのステータスは保留中です"
"871","similar","類似した","Amazon S3 and Amazon EBS are similar in that they both provide storage services","Amazon S3とAmazon EBSは、どちらもストレージサービスを提供する点で類似しています"
"872","relational","関係の","Amazon RDS is a managed relational database service","Amazon RDSは、管理された関係データベースサービスです"
"873","drop","削除する","You can drop a table in Amazon Redshift using the DROP TABLE command","Amazon RedshiftでDROP TABLEコマンドを使用してテーブルを削除できます"
"874","likely","おそらく","It is likely that AWS will continue to expand its service offerings","AWSは今後もサービスの提供を拡大していく可能性が高いです"
"875","opt","選択する","You can opt for AWS Support plans based on your needs.","ニーズに応じてAWSサポートプランを選択できます。"
"876","observability","観測可能性","Improve the observability of your application using AWS X-Ray.","AWS X-Rayを使用してアプリケーションの観測可能性を向上させます。"
"877","deletion","削除","Ensure proper deletion of resources when you no longer need them.","不要になったリソースの適切な削除を確認してください。"
"878","rotate","回転させる","It is important to rotate your AWS access keys regularly for security purposes","セキュリティ上の理由から、定期的にAWSアクセスキーを回転させることが重要です"
"879","establish","確立する","You need to establish a secure connection between your on-premises network and AWS using AWS Direct Connect","オンプレミスネットワークとAWSとの間に、AWS Direct Connectを使用してセキュアな接続を確立する必要があります"
"880","compare","比較する","You can compare the performance of different AWS instance types before choosing the best one for your workload","ワークロードに最適なインスタンスタイプを選択する前に、異なるAWSインスタンスタイプのパフォーマンスを比較できます"
"881","operator","オペレーター","As an AWS operator, you should be familiar with the AWS CLI and SDKs to automate tasks","AWSオペレーターとして、タスクを自動化するためにAWS CLIやSDKに精通している必要があります"
"882","merge","統合する","The two branches were merged in the AWS CodeCommit repository"," AWS CodeCommitリポジトリで2つのブランチが統合されました"
"883","retry","再試行","If the AWS Lambda function fails, it will automatically retry"," AWS Lambda関数が失敗した場合、自動的に再試行されます"
"884","decision","決定","The decision to use AWS was based on its scalability and reliability"," AWSを使用する決定は、そのスケーラビリティと信頼性に基づいています"
"885","presigned","事前に署名された","You can generate a presigned URL for temporary access to an Amazon S3 object"," Amazon S3オブジェクトへの一時的なアクセスのために、事前に署名されたURLを生成できます"
"886","label","ラベル","Add a label to the AWS resource to help with organization"," 組織化に役立つように、AWSリソースにラベルを追加してください"
"887","language","言語","Amazon Translate supports multiple languages for real-time translation"," Amazon Translateはリアルタイム翻訳のために複数の言語をサポートしています"
"888","daemon","デーモン","The Amazon EC2 instance runs a daemon to monitor the health of the application.","Amazon EC2インスタンスは、アプリケーションの健康状態を監視するデーモンを実行しています。"
"889","promote","昇格させる","To promote a new version of your application, you can use AWS CodeDeploy.","アプリケーションの新しいバージョンを昇格させるには、AWS CodeDeployを使用できます。"
"890","vary","異なる","The performance of AWS services may vary depending on the region and availability zone.","AWSサービスのパフォーマンスは、リージョンやアベイラビリティーゾーンによって異なる場合があります。"
"891","obtain","取得する","You can obtain the access key and secret key from the AWS Management Console.","アクセスキーとシークレットキーは、AWSマネジメントコンソールから取得できます。"
"892","retrieval","取り出し","Amazon S3 provides fast and reliable data retrieval for your stored objects.","Amazon S3は、保存されたオブジェクトの迅速かつ信頼性の高いデータ取り出しを提供します。"
"893","next","次の","The next step is to configure the AWS Lambda function to process the incoming data.","次のステップは、AWS Lambda関数を設定して、受信データを処理することです。"
"894","walkthrough","ウォークスルー","The AWS documentation provides a walkthrough on how to set up Amazon RDS for your database.","AWSドキュメントでは、データベース用のAmazon RDSを設定する方法についてのウォークスルーが提供されています。"
"895","simply","単純に","You can simply create a new instance in AWS.","AWSで新しいインスタンスを簡単に作成できます。"
"896","tcp","TCPプロトコル","TCP port 80 is used for HTTP traffic.","TCPポート80はHTTPトラフィックに使用されます。"
"897","unavailable","利用できない","The service is temporarily unavailable due to maintenance.","メンテナンスのため、サービスは一時的に利用できません。"
"898","none","なし","There are none available instances in this region.","このリージョンには利用可能なインスタンスがありません。"
"899","analyzer","アナライザー","Use AWS Config Rule Analyzer to check your compliance status.","AWS Config Rule Analyzerを使用してコンプライアンス状況を確認してください。"
"900","enforce","強制する","Enforce IAM policies to restrict user access to AWS resources.","IAMポリシーを強制して、ユーザーのAWSリソースへのアクセスを制限してください。"
"901","branch","分岐","AWS CodeCommit allows you to create branches for different features or bug fixes"," AWS CodeCommitでは、異なる機能やバグ修正のためにブランチを作成できます"
"902","high-level","高レベル","The high-level architecture of the AWS infrastructure is designed for scalability and reliability"," AWSインフラストラクチャの高レベルアーキテクチャは、スケーラビリティと信頼性を目的として設計されています"
"903","temporarily","一時的に","You can temporarily increase the capacity of your Amazon RDS instance to handle a spike in traffic"," トラフィックの急増に対処するために、Amazon RDSインスタンスの容量を一時的に増やすことができます"
"904","allocate","割り当てる","You can allocate an Elastic IP address to your Amazon EC2 instance"," Amazon EC2インスタンスにElastic IPアドレスを割り当てることができます"
"905","annotation","注釈","You can add annotations to your AWS CloudFormation templates to provide additional information"," AWS CloudFormationテンプレートに注釈を追加して、追加情報を提供することができます"
"906","registration","登録","You need to complete the registration process before using AWS services"," AWSサービスを使用する前に登録プロセスを完了する必要があります"
"907","retain","保持する","Amazon S3 can retain multiple versions of an object to protect against accidental deletion"," Amazon S3は、誤って削除されることに対する保護のために、オブジェクトの複数のバージョンを保持できます"
"908","sequence","順序","You can define the sequence of steps in an AWS Step Functions workflow"," AWS Step Functionsワークフローのステップの順序を定義できます"
"909","machine","機械","Amazon EC2 provides virtual machines in the cloud.","Amazon EC2はクラウド上で仮想マシンを提供します。"
"910","completion","完了","You will receive a notification upon the completion of the AWS Lambda function.","AWS Lambda関数の完了時に通知を受け取ります。"
"911","visualize","視覚化する","You can use Amazon QuickSight to visualize your data stored in AWS.","AWSに保存されたデータをAmazon QuickSightを使って視覚化できます。"
"912","consume","消費する","This AWS Lambda function consumes a lot of memory resources.","このAWS Lambda関数は多くのメモリリソースを消費します。"
"913","modification","変更","You can make modifications to your AWS infrastructure using AWS CloudFormation templates.","AWS CloudFormationテンプレートを使用してAWSインフラストラクチャに変更を加えることができます。"
"914","readwrite","読み書き","You can set the readwrite permissions for your S3 bucket.","S3バケットの読み書き権限を設定できます。"
"915","ongoing","進行中の","The ongoing maintenance of the AWS infrastructure ensures its reliability.","AWSインフラストラクチャの継続的なメンテナンスにより、信頼性が確保されます。"
"916","potential","潜在的な","Identify potential security risks in your AWS environment.","AWS環境の潜在的なセキュリティリスクを特定します。"
"917","delivered","提供される","The AWS service updates are delivered automatically.","AWSサービスの更新は自動的に提供されます。"
"918","continue","続ける","Continue monitoring your AWS resources for optimal performance.","最適なパフォーマンスのためにAWSリソースの監視を続けます。"
"919","minimize","最小限に抑える","Minimize the downtime during AWS system updates.","AWSシステムの更新中のダウンタイムを最小限に抑えます。"
"920","specification","仕様","Follow the AWS service specification for proper implementation.","適切な実装のためにAWSサービスの仕様に従います。"
"921","shield","保護","AWS Shield provides protection against DDoS attacks.","AWS ShieldはDDoS攻撃から保護を提供します。"
"922","cancel","キャンセルする","You can cancel your AWS subscription at any time.","AWSサブスクリプションはいつでもキャンセルできます。"
"923","visibility","可視性","You can improve the visibility of your AWS resources by using tags.","タグを使用してAWSリソースの可視性を向上させることができます。"
"924","pushdown","プッシュダウン","You can use pushdown predicates in Amazon Redshift to optimize query performance.","Amazon Redshiftでプッシュダウン述語を使用してクエリのパフォーマンスを最適化することができます。"
"925","plugin","プラグイン","You can use AWS SDK plugins to extend the functionality of your applications.","AWS SDKプラグインを使用してアプリケーションの機能を拡張することができます。"
"926","miss","欠落","If you find any missing data in your AWS resources, you can use AWS Backup to restore it.","AWSリソースで欠落しているデータがある場合は、AWS Backupを使用して復元することができます。"
"927","visible","目に見える","You can make your Amazon S3 bucket visible to the public by modifying its access control settings.","アクセス制御設定を変更することで、Amazon S3バケットを一般に公開できます。"
"928","conditional","条件付き","You can use conditional expressions in AWS Lambda functions to control the flow of your code.","AWS Lambda関数で条件式を使用してコードのフローを制御することができます。"
"929","understand","理解する","It is important to understand the AWS shared responsibility model to ensure the security of your resources.","AWS共有責任モデルを理解することは、リソースのセキュリティを確保するために重要です。"
"930","overall","全体的な","You can use AWS Trusted Advisor to get an overall view of your AWS infrastructure and optimize its performance.","AWS Trusted Advisorを使用してAWSインフラストラクチャの全体的なビューを取得し、パフォーマンスを最適化することができます。"
"931","increasing","増加している","The number of instances in our AWS environment is increasing rapidly.","AWS環境のインスタンス数が急速に増加しています。"
"932","detect","検出する","Amazon GuardDuty can detect suspicious activity in your AWS account.","Amazon GuardDutyはAWSアカウント内の不審なアクティビティを検出できます。"
"933","delay","遅延","There is a delay in the data transfer between AWS regions.","AWSリージョン間のデータ転送に遅延があります。"
"934","experiment","実験","We are running an experiment using AWS Lambda functions.","AWS Lambda関数を使用した実験を行っています。"
"935","marker","マーカー","We use a marker to paginate through the list of Amazon S3 objects.","Amazon S3オブジェクトのリストをページングするためにマーカーを使用します。"
"936","sync","同期する","We need to sync our local files with the Amazon S3 bucket.","ローカルファイルをAmazon S3バケットと同期する必要があります。"
"937","association","関連付け","We need to create a subnet association for the AWS Route 53 Resolver rule.","AWS Route 53 Resolverルールのサブネット関連付けを作成する必要があります。"
"938","selection","選択","You can make a selection of the AWS services you want to use.","AWSの使用したいサービスを選択できます。"
"939","websocket","ウェブソケット","Amazon API Gateway supports WebSocket APIs for real-time communication.","Amazon API Gatewayはリアルタイム通信のためのWebSocket APIをサポートしています。"
"940","unused","未使用の","You can delete unused Amazon EC2 instances to save costs.","コストを節約するために未使用のAmazon EC2インスタンスを削除できます。"
"941","parquet","パーケット","Amazon Athena supports querying data stored in Parquet format.","Amazon AthenaはParquet形式で保存されたデータのクエリをサポートしています。"
"942","involve","関与する","Setting up an AWS infrastructure involves multiple steps.","AWSインフラストラクチャの設定には複数の手順が関与します。"
"943","flag","フラグ","You can set a flag to enable or disable a specific feature in your AWS service.","AWSサービスの特定の機能を有効または無効にするためにフラグを設定できます。"
"944","digest","ダイジェスト","Amazon S3 can generate a digest of your object to verify its integrity.","Amazon S3はオブジェクトのダイジェストを生成して整合性を確認できます。"
"945","keep","保持する","Amazon RDS can keep automatic backups of your database for a specified retention period.","Amazon RDSは指定された保持期間にわたってデータベースの自動バックアップを保持できます。"
"946","expire","期限切れ","The temporary AWS credentials will expire after a certain period of time.","一時的なAWSクレデンシャルは、一定期間後に期限切れになります。"
"947","idle","アイドル","You can set up an auto-scaling policy to terminate idle instances.","アイドルインスタンスを終了するためのオートスケーリングポリシーを設定できます。"
"948","recover","回復する","You can use AWS Backup to recover your data in case of a disaster.","災害の際にAWSバックアップを使用してデータを回復できます。"
"949","hypervisor","ハイパーバイザー","Amazon EC2 instances run on a hypervisor that manages the virtualization of the underlying hardware.","Amazon EC2インスタンスは、基盤となるハードウェアの仮想化を管理するハイパーバイザー上で実行されます。"
"950","timestamp","タイムスタンプ","You can use a timestamp to track when an AWS resource was last modified.","タイムスタンプを使用して、AWSリソースが最後に変更された時期を追跡できます。"
"951","containerize","コンテナ化する","AWS allows you to easily containerize your applications for better scalability and flexibility.","AWSでは、より良いスケーラビリティと柔軟性のためにアプリケーションを簡単にコンテナ化できます。"
"952","announce","発表する","Amazon announced the launch of a new AWS service last week.","アマゾンは先週、新しいAWSサービスのローンチを発表しました。"
"953","concept","概念","Understanding the basic concepts of AWS is essential for using its services effectively.","AWSの基本的な概念を理解することは、そのサービスを効果的に利用するために不可欠です。"
"954","block","ブロックする","You can block specific IP addresses from accessing your AWS resources for security purposes.","セキュリティ上の理由から、特定のIPアドレスからのAWSリソースへのアクセスをブロックできます。"
"955","significant","重要な","Choosing the right AWS service for your needs can have a significant impact on your application's performance.","ニーズに適したAWSサービスを選択することは、アプリケーションのパフォーマンスに大きな影響を与えることがあります。"
"956","replacement","交換","The replacement of the old server with a new one improved the performance of the AWS infrastructure.","古いサーバーを新しいものと交換することで、AWSインフラのパフォーマンスが向上しました。"
"957","flexible","柔軟な","The flexible pricing model of AWS allows customers to pay only for the resources they use.","AWSの柔軟な価格モデルにより、顧客は使用したリソースのみを支払うことができます。"
"958","privatelink","プライベートリンク","AWS PrivateLink enables secure and private connectivity between VPCs and AWS services.","AWS PrivateLinkは、VPC間およびAWSサービス間の安全でプライベートな接続を可能にします。"
"959","deep","深い","AWS Deep Learning AMIs provide pre-installed deep learning frameworks for easy deployment.","AWS Deep Learning AMIは、事前にインストールされたディープラーニングフレームワークを提供し、簡単にデプロイできます。"
"960","redo","やり直す","If the AWS CloudFormation stack creation fails, you may need to redo the process.","AWS CloudFormationスタックの作成が失敗した場合、プロセスをやり直す必要があるかもしれません。"
"961","interval","間隔","You can set the interval for Amazon CloudWatch metrics to monitor your AWS resources more effectively.","Amazon CloudWatchメトリクスの間隔を設定することで、AWSリソースをより効果的に監視できます。"
"962","invalid","無効な","An invalid AWS access key will prevent you from accessing AWS services.","無効なAWSアクセスキーは、AWSサービスへのアクセスを妨げます。"
"963","familiar","精通している","It is important to be familiar with AWS best practices to optimize your cloud infrastructure.","クラウドインフラを最適化するために、AWSのベストプラクティスに精通していることが重要です。"
"964","shell","シェル","Use the shell to execute commands.","コマンドを実行するためにシェルを使用します。"
"965","null","ヌル","If the variable is null, the program will throw an error.","変数がnullの場合、プログラムはエラーをスローします。"
"966","simplify","簡素化する","AWS helps to simplify the process of deploying applications.","AWSはアプリケーションのデプロイメントプロセスを簡素化するのに役立ちます。"
"967","guide","ガイド","Follow the guide to configure the service.","サービスを設定するためのガイドに従ってください。"
"968","extend","拡張する","You can extend the EBS volume attached to your EC2 instance.","EC2インスタンスに接続されたEBSボリュームを拡張することができます。"
"969","back","バックアップする","Back up your data regularly with AWS Backup.","AWS Backupを用いて定期的にデータをバックアップしてください。"
"970","west","西","The US West (Oregon) region provides a wide range of AWS services.","米国西部（オレゴン）リージョンは、幅広いAWSサービスを提供しています。"
"971","discover","発見する","AWS Config allows you to discover resources that are not in compliance.","AWS Configを使用すると、コンプライアンスを満たしていないリソースを発見できます。"
"972","SSR","サーバーサイドレンダリング","Server-Side Rendering (SSR) can be achieved with AWS Lambda.","サーバーサイドレンダリング（SSR）は、AWS Lambdaを使用して実現できます。"
"973","reach","到達する","The message reaches the SQS queue and is then processed.","メッセージがSQSキューに到達し、その後処理されます。"
"974","payment","支払い","You need to set up payment methods for your AWS account.","AWSアカウントのための支払い方法を設定する必要があります。"
"975","extra","追加の","Extra charges may apply when data is transferred out of AWS.","データがAWSから転送される際に、追加料金が適用される場合があります。"
"976","size","サイズ","The size of an EBS volume can impact the performance of your EC2 instance.","EBSボリュームのサイズは、EC2インスタンスのパフォーマンスに影響を与える可能性があります。"
"977","hardware","ハードウェア","AWS Nitro System is a rich collection of building blocks of hardware and software.","AWS Nitro Systemは、ハードウェアとソフトウェアの豊富な構成要素です。"
"978","suitable","適している","AWS offers a variety of instance types suitable for different workloads.","AWSは、さまざまなワークロードに適したインスタンスタイプを提供しています。"
"979","studio","スタジオ","AWS DeepComposer provides a virtual studio where you can create music.","AWS DeepComposerは音楽を作成できる仮想スタジオを提供しています。"
"980","unlike","異なる","Unlike Block storage, S3 is an object storage service.","ブロックストレージと異なり、S3はオブジェクトストレージサービスです。"
"981","independent","独立した","Each AWS Region is an independent geographic area.","各AWSリージョンは、独立した地理的エリアです。"
"982","diagnostic","診断の","AWS offers diagnostic tools to troubleshoot your applications.","AWSは、アプリケーションのトラブルシューティングを行うための診断ツールを提供しています。"
"983","compress","圧縮する","You can compress your data before storing it in Amazon S3 for cost efficiency.","コスト効率のために、データをAmazon S3に格納する前に圧縮することができます。"
"984","thing","事","AWS IoT Things Graph allows you to model real-world systems.","AWS IoT Things Graphを使用すると、現実世界のシステムをモデル化することができます。"
"985","client-side","クライアント側の","Client-side encryption is supported by many AWS services.","多くのAWSサービスは、クライアント側の暗号化をサポートしています。"
"986","gain","得る","By using AWS, organizations can gain scalability and flexibility.","AWSを使用することで、組織はスケーラビリティと柔軟性を得ることができます。"
"987","clone","クローンする","You can clone an AWS RDS instance for testing purposes.","テスト目的でAWS RDSインスタンスをクローンすることができます。"
"988","differ","異なる","The features offered by different AWS services can differ.","異なるAWSサービスが提供する機能は異なる場合があります。"
"989","successor","後継者","Lambda versioning allows you to create new successors of your functions.","Lambdaのバージョニングを使用すると、関数の新しい後継者を作成できます。"
"990","delegate","委任する","You can delegate access to your AWS resources using IAM roles.","IAMロールを使用してAWSリソースへのアクセスを委任することができます。"
"991","listener","リスナー","In Amazon Elastic Load Balancing, you can set listeners to check the traffic.","Amazon Elastic Load Balancingでは、トラフィックをチェックするリスナーを設定できます。"
"992","invalidation","無効化","AWS CloudFront provides a feature to create an invalidation to remove files.","AWS CloudFrontでは、ファイルを削除するための無効化を作成する機能が提供されています。"
"993","point-in-time","時点","AWS provides point-in-time recovery to restore your databases.","AWSはデータベースを復元するための時点復旧を提供しています。"
"994","physical","物理的な","AWS data centers have strong physical security measures in place.","AWSのデータセンターには、強固な物理的なセキュリティ対策が施されています。"
"995","cipher","暗号","AWS provides cipher options in AWS Key Management Service for data encryption.","AWSでは、AWS Key Management Serviceでデータ暗号化のための暗号オプションを提供しています。"
"996","diagnose","診断する","You can use AWS CloudWatch Logs to diagnose your application issues.","AWS CloudWatch Logsを使用してアプリケーションの問題を診断することができます。"
"997","legacy","レガシー","Migrating legacy applications to AWS can enhance scalability and reliability.","レガシーアプリケーションをAWSに移行することで、スケーラビリティと信頼性が向上します。"
"998","config","設定","AWS Config allows you to manage your AWS resource configurations.","AWS Configを使用すると、AWSリソースの設定を管理できます。"
"999","automation","自動化","AWS provides several services for infrastructure automation.","AWSは、インフラストラクチャ自動化のためのいくつかのサービスを提供します。"
"1000","place","配置する","You can place your resources across different AWS regions for high availability.","高可用性のために、異なるAWSリージョンにリソースを配置することができます。"
"1001","objective","目標","Setting clear objectives is crucial for effective use of AWS resources.","AWSリソースの効果的な使用には、明確な目標設定が重要です。"
"1002","verification","確認","Verification of security groups is a common step in AWS troubleshooting.","セキュリティグループの確認は、AWSのトラブルシューティングで一般的なステップです。"
"1003","map","マップする","In AWS, you can map a custom domain to an Amazon S3 bucket.","AWSでは、カスタムドメインをAmazon S3バケットにマップすることができます。"
"1004","bill","請求する","AWS bills you monthly for the services used.","AWSは使用したサービスに対して月次で請求します。"
"1005","unhealthy","健康でない","If an EC2 instance becomes unhealthy, AWS can replace it automatically.","EC2インスタンスが健康でなくなった場合、AWSは自動的にそれを置き換えることができます。"
"1006","enhancement","強化","AWS is constantly making enhancements to its services based on user feedback.","AWSは、ユーザーフィードバックに基づいてサービスを常に強化しています。"
"1007","router","ルータ","In AWS VPC, a router controls traffic between subnets.","AWS VPCでは、ルータがサブネット間のトラフィックを制御します。"
"1008","company","会社","Many companies use AWS to host their applications and store their data.","多くの会社がAWSを使用してアプリケーションをホストし、データを保存しています。"
"1009","incomplete","不完全な","Incomplete data transfer can cause errors in AWS services.","データ転送が不完全な場合、AWSサービスでエラーが発生する可能性があります。"
"1010","few","少ない","AWS allows managing a few to thousands of EC2 instances.","AWSでは、少数から数千のEC2インスタンスを管理できます。"
"1011","split","分割する","You can split your AWS resources across different regions for redundancy.","冗長性のために、AWSリソースを異なるリージョンに分割することができます。"
"1012","nat","NAT","A NAT gateway in AWS allows instances in a private subnet to connect to the internet or other AWS services.","AWSのNATゲートウェイを使用すると、プライベートサブネット内のインスタンスがインターネットまたは他のAWSサービスに接続できます。"
"1013","background","背景","Understanding the background of AWS's infrastructure can help optimize your resources.","AWSのインフラストラクチャの背景を理解することで、リソースを最適化するのに役立ちます。"
"1014","minimal","最小限の","AWS Lambda allows you to run your code with minimal server maintenance.","AWS Lambdaを使用すると、サーバーメンテナンスを最小限に抑えてコードを実行することができます。"
"1015","requester","リクエスター","The requester of the AWS service will be charged for the resources used.","AWSサービスのリクエスターは、使用したリソースの料金を支払うことになります。"
"1016","push","プッシュする","You can push your updates directly to AWS CodeCommit.","直接AWS CodeCommitに更新をプッシュすることができます。"
"1017","ingress","イングレス","AWS Security Groups control both ingress and egress traffic to an EC2 instance.","AWSセキュリティグループは、EC2インスタンスへのイングレスとエグレスの両方のトラフィックを制御します。"
"1018","sidecar","サイドカー","In the microservices architecture on AWS, a sidecar can be used to handle specific cross-cutting concerns.","AWS上のマイクロサービスアーキテクチャでは、サイドカーを使用して特定の横断的な問題を処理することができます。"
"1019","isolation","隔離","AWS VPC provides network isolation for your cloud resources.","AWS VPCはクラウドリソースのネットワーク隔離を提供します。"
"1020","locally","ローカルに","You can test your AWS Lambda functions locally before deploying them.","デプロイする前に、AWS Lambda関数をローカルでテストすることができます。"
"1021","speed","速度","The speed of data transfer can affect the performance of your AWS services.","データ転送の速度は、AWSサービスのパフォーマンスに影響を与えることがあります。"
"1022","comprehend","理解する","Amazon Comprehend uses machine learning to help you understand the sentiment in text data.","Amazon Comprehendは、テキストデータのセンチメントを理解するために機械学習を使用します。"
"1023","hold","保持する","In AWS, an RDS instance can hold multiple databases.","AWSでは、RDSインスタンスが複数のデータベースを保持することができます。"
"1024","force","強制する","In AWS, you can force a failover for a Amazon RDS database for testing.","AWSでは、テストのためにAmazon RDSデータベースのフェイルオーバーを強制することができます。"
"1025","debug","デバッグする","AWS Cloud9 IDE lets you write, run, and debug your code with just a browser.","AWS Cloud9 IDEを使用すると、ブラウザだけでコードを記述、実行、デバッグすることができます。"
"1026","line","行","AWS CloudFormation templates are written in JSON or YAML, and each line in the template represents a property of the resource.","AWS CloudFormationのテンプレートはJSONまたはYAMLで記述され、テンプレートの各行はリソースのプロパティを表します。"
"1027","alternative","代替","AWS provides alternative solutions for different computing needs, like EC2 for IaaS, or Lambda for serverless.","AWSは、IaaSのためのEC2やサーバーレスのためのLambdaなど、異なる計算ニーズに対する代替解決策を提供します。"
"1028","checksum","チェックサム","When transferring files to AWS S3, a checksum is used to ensure data integrity.","AWS S3にファイルを転送する際には、データの整合性を保証するためにチェックサムが使用されます。"
"1029","find","見つける","In AWS Management Console, you can find resources by their tags.","AWS管理コンソールでは、タグによってリソースを見つけることができます。"
"1030","measurement","測定","Amazon CloudWatch allows the measurement of your AWS resource usage.","Amazon CloudWatchを使用すると、AWSリソースの使用量を測定することができます。"
"1031","programmatic","プログラム的な","AWS provides programmatic access to its services via APIs.","AWSはAPIを介してそのサービスへのプログラム的なアクセスを提供します。"
"1032","hourly","毎時","In AWS, you can configure some services to provide hourly metrics.","AWSでは、一部のサービスを設定して毎時のメトリクスを提供することができます。"
"1033","achieve","達成する","With AWS, you can achieve high availability by distributing resources across multiple availability zones.","AWSを使用すれば、リソースを複数のアベイラビリティゾーンに分散させることで高い可用性を達成できます。"
"1034","interruption","中断","AWS Spot Instances are subject to interruption if market prices exceed the maximum price you set.","マーケット価格が設定した最高価格を超えると、AWSスポットインスタンスは中断される可能性があります。"
"1035","core","コア","The EC2 instance type determines the number of CPU cores available to you.","EC2インスタンスタイプは、利用可能なCPUコアの数を決定します。"
"1036","explorer","探検家","Amazon Athena uses a version of the Presto SQL query engine and includes a built-in query explorer.","Amazon AthenaはPresto SQLクエリエンジンのバージョンを使用し、組み込みのクエリエクスプローラを含みます。"
"1037","eventually","最終的に","Eventually consistent read after a write will reflect the results of a write operation after some time.","書き込み後の最終的に一貫した読み取りは、ある時間後に書き込み操作の結果を反映します。"
"1038","historical","過去の","Amazon Redshift allows you to analyze historical data with its large scale data warehouse service.","Amazon Redshiftでは、大規模データウェアハウスサービスを用いて過去のデータを分析することができます。"
"1039","beyond","超えて","CloudWatch allows you to monitor AWS resources and applications beyond the AWS Management Console.","CloudWatchを使用すると、AWS管理コンソールを超えてAWSリソースとアプリケーションを監視することができます。"
"1040","postgis","PostGIS","Amazon RDS for PostgreSQL supports the PostGIS extension for spatial database features.","Amazon RDS for PostgreSQLは、空間データベース機能のためのPostGIS拡張をサポートしています。"
"1041","virginia","バージニア州","The 'us-east-1' AWS region corresponds to North Virginia.","'us-east-1' AWSリージョンは北バージニアに対応しています。"
"1042","isolate","分離する","AWS Lambda isolates each execution environment in its own VM to ensure security.","AWS Lambdaは、各実行環境を独自のVMで分離し、セキュリティを確保します。"
"1043","periodically","定期的に","AWS recommends that you periodically rotate your access keys.","AWSは、アクセスキーを定期的にローテーションすることを推奨しています。"
"1044","authority","権威","The AWS Certificate Manager is a trusted authority for your SSL/TLS certificates.","AWS Certificate ManagerはあなたのSSL/TLS証明書のための信頼できる権威です。"
"1045","independently","独立して","AWS Regions operate independently of each other to provide a fault-tolerant design.","AWSのリージョンは、フォールトトレラントな設計を提供するために互いに独立して動作します。"
"1046","factor","要素","Security in AWS is a shared responsibility where customer data is a critical factor.","AWSのセキュリティは共有責任で、顧客データは重要な要素です。"
"1047","finding","発見","AWS Security Hub aggregates findings from multiple AWS services and third-party tools.","AWS Security Hubは、複数のAWSサービスやサードパーティのツールからの発見を集約します。"
"1048","commit","コミットする","After making changes to your AWS CloudFormation template, commit the changes to apply them.","AWS CloudFormationのテンプレートを変更した後は、変更をコミットして適用します。"
"1049","close","閉じる","Close unused ports in your AWS security groups to minimize potential attack surfaces.","潜在的な攻撃対象を最小限に抑えるために、AWSセキュリティグループの使用していないポートを閉じます。"
"1050","reservation","予約","With Amazon EC2 Reserved Instances, you make a reservation for an instance to receive significant discounts.","Amazon EC2のReserved Instancesでは、インスタンスを予約することで大幅な割引を受けることができます。"
"1051","confuse","混乱させる","Using descriptive names for your AWS resources can help avoid confusion.","AWSリソースに対して説明的な名前を使用することで混乱を避けるのに役立ちます。"
"1052","concurrent","並行","AWS Lambda can handle concurrent execution of multiple functions.","AWS Lambdaは複数の関数の並行実行を処理することができます。"
"1053","switchover","切り替え","In the event of a failure, AWS RDS allows for a quick switchover to a standby replica.","障害が発生した場合、AWS RDSはスタンバイレプリカへの迅速な切り替えを可能にします。"
"1054","eligible","適格である","Not all AWS services are eligible for the Free Tier.","すべてのAWSサービスがフリーティアの対象であるわけではありません。"
"1055","alert","アラート","You can set up Amazon CloudWatch to send alerts when certain thresholds are breached.","特定の閾値を超えたときにAmazon CloudWatchからアラートを送信するように設定できます。"
"1056","permanent","永続的な","Amazon S3 provides a secure, durable, and highly-scalable infrastructure for permanent data storage.","Amazon S3は、永続的なデータストレージのための安全で耐久性があり、大規模にスケーリング可能なインフラを提供します。"
"1057","channel","チャネル","AWS Elemental MediaLive uses channels to manage the workflow of your live video streams.","AWS Elemental MediaLiveはチャネルを使用してライブビデオストリームのワークフローを管理します。"
"1058","convert","変換する","AWS Glue can convert and format data for analytics tools.","AWS Glueは分析ツール用のデータを変換・整形できます。"
"1059","license","ライセンス","Some AWS Marketplace products require an additional license.","AWSマーケットプレイスの一部の製品には追加のライセンスが必要です。"
"1060","workgroup","ワークグループ","In Amazon Athena, queries and data are isolated within a workgroup.","Amazon Athenaでは、クエリとデータはワークグループ内で隔離されます。"
"1061","visual","視覚的な","AWS QuickSight provides a visual, interactive interface to analyze data.","AWS QuickSightは、データを分析するための視覚的で対話型のインターフェースを提供します。"
